x_m,y_m,w_tr_right_m,w_tr_left_m
0.393,1.718,0.25,0.16
0.383,1.712,0.25,0.16
0.373,1.707,0.25,0.16
0.364,1.7,0.25,0.16
0.354,1.693,0.25,0.16
0.346,1.686,0.25,0.16
0.337,1.678,0.25,0.16
0.33,1.67,0.25,0.16
0.322,1.661,0.25,0.16
0.315,1.652,0.25,0.16
0.309,1.642,0.25,0.16
0.303,1.632,0.25,0.16
0.298,1.622,0.25,0.16
0.294,1.612,0.25,0.16
0.29,1.601,0.25,0.16
0.286,1.59,0.25,0.16
0.284,1.579,0.25,0.16
0.281,1.568,0.25,0.16
0.28,1.556,0.25,0.16
0.28,1.546,0.25,0.16
0.28,1.536,0.25,0.16
0.28,1.526,0.25,0.16
0.28,1.516,0.25,0.16
0.28,1.506,0.25,0.16
0.28,1.496,0.25,0.16
0.28,1.486,0.25,0.16
0.28,1.476,0.25,0.16
0.28,1.466,0.25,0.16
0.28,1.456,0.25,0.16
0.28,1.446,0.25,0.16
0.28,1.436,0.25,0.16
0.28,1.426,0.25,0.16
0.28,1.416,0.25,0.16
0.28,1.406,0.25,0.16
0.28,1.396,0.25,0.16
0.28,1.386,0.25,0.16
0.28,1.376,0.25,0.16
0.28,1.366,0.25,0.16
0.28,1.356,0.25,0.16
0.28,1.346,0.25,0.16
0.28,1.336,0.25,0.16
0.28,1.326,0.25,0.16
0.28,1.316,0.25,0.16
0.28,1.306,0.25,0.16
0.28,1.296,0.25,0.16
0.28,1.286,0.25,0.16
0.28,1.276,0.25,0.16
0.28,1.266,0.25,0.16
0.28,1.256,0.25,0.16
0.28,1.246,0.25,0.16
0.28,1.236,0.25,0.16
0.28,1.226,0.25,0.16
0.28,1.216,0.25,0.16
0.28,1.206,0.25,0.16
0.28,1.196,0.25,0.16
0.28,1.186,0.25,0.16
0.28,1.176,0.25,0.16
0.28,1.166,0.25,0.16
0.28,1.156,0.25,0.16
0.28,1.146,0.25,0.16
0.28,1.136,0.25,0.16
0.28,1.126,0.25,0.16
0.28,1.116,0.25,0.16
0.28,1.106,0.25,0.16
0.28,1.096,0.25,0.16
0.28,1.086,0.25,0.16
0.28,1.076,0.25,0.16
0.28,1.066,0.25,0.16
0.28,1.056,0.25,0.16
0.28,1.046,0.25,0.16
0.28,1.036,0.25,0.16
0.28,1.026,0.25,0.16
0.28,1.016,0.25,0.16
0.28,1.006,0.25,0.16
0.28,0.996,0.25,0.16
0.28,0.986,0.25,0.16
0.28,0.976,0.25,0.16
0.28,0.966,0.25,0.16
0.28,0.956,0.25,0.16
0.28,0.946,0.25,0.16
0.28,0.936,0.25,0.16
0.28,0.926,0.25,0.16
0.28,0.916,0.25,0.16
0.28,0.906,0.25,0.16
0.28,0.896,0.25,0.16
0.28,0.886,0.25,0.16
0.28,0.876,0.25,0.16
0.28,0.866,0.25,0.16
0.28,0.856,0.25,0.16
0.28,0.846,0.25,0.16
0.28,0.836,0.25,0.16
0.28,0.826,0.25,0.16
0.28,0.816,0.25,0.16
0.28,0.806,0.25,0.16
0.28,0.796,0.25,0.16
0.28,0.786,0.25,0.16
0.28,0.776,0.25,0.16
0.28,0.766,0.25,0.16
0.28,0.756,0.25,0.16
0.28,0.746,0.25,0.16
0.28,0.736,0.25,0.16
0.28,0.726,0.25,0.16
0.28,0.716,0.25,0.16
0.28,0.706,0.25,0.16
0.28,0.696,0.25,0.16
0.28,0.686,0.25,0.16
0.28,0.676,0.25,0.16
0.28,0.666,0.25,0.16
0.28,0.656,0.25,0.16
0.28,0.646,0.25,0.16
0.28,0.636,0.25,0.16
0.28,0.626,0.25,0.16
0.28,0.616,0.25,0.16
0.28,0.606,0.25,0.16
0.28,0.596,0.25,0.16
0.28,0.586,0.25,0.16
0.28,0.576,0.25,0.16
0.28,0.566,0.25,0.16
0.28,0.556,0.25,0.16
0.28,0.546,0.25,0.16
0.28,0.536,0.25,0.16
0.28,0.526,0.25,0.16
0.28,0.516,0.25,0.16
0.28,0.506,0.25,0.16
0.28,0.496,0.25,0.16
0.28,0.486,0.25,0.16
0.28,0.476,0.25,0.16
0.282,0.464,0.25,0.16
0.284,0.453,0.25,0.16
0.287,0.442,0.25,0.16
0.29,0.431,0.25,0.16
0.294,0.42,0.25,0.16
0.299,0.41,0.25,0.16
0.304,0.399,0.25,0.16
0.31,0.39,0.25,0.16
0.316,0.38,0.25,0.16
0.323,0.371,0.25,0.16
0.33,0.362,0.25,0.16
0.338,0.354,0.25,0.16
0.347,0.346,0.25,0.16
0.355,0.339,0.25,0.16
0.365,0.332,0.25,0.16
0.374,0.326,0.25,0.16
0.384,0.32,0.25,0.16
0.394,0.315,0.25,0.16
0.405,0.31,0.25,0.16
0.415,0.306,0.25,0.16
0.426,0.303,0.25,0.16
0.437,0.3,0.25,0.16
0.449,0.298,0.25,0.16
0.46,0.296,0.25,0.16
0.47,0.296,0.25,0.16
