x_m,y_m,w_tr_right_m,w_tr_left_m
1.52,1.43,0.25,0.16
1.52,1.42,0.25,0.16
1.52,1.41,0.25,0.16
1.52,1.4,0.25,0.16
1.52,1.39,0.25,0.16
1.52,1.38,0.25,0.16
1.52,1.37,0.25,0.16
1.52,1.36,0.25,0.16
1.52,1.35,0.25,0.16
1.52,1.34,0.25,0.16
1.52,1.33,0.25,0.16
1.52,1.32,0.25,0.16
1.52,1.31,0.25,0.16
1.52,1.3,0.25,0.16
1.52,1.29,0.25,0.16
1.52,1.28,0.25,0.16
1.52,1.27,0.25,0.16
1.52,1.26,0.25,0.16
1.52,1.25,0.25,0.16
1.52,1.24,0.25,0.16
1.52,1.23,0.25,0.16
1.52,1.22,0.25,0.16
1.52,1.21,0.25,0.16
1.52,1.2,0.25,0.16
1.52,1.19,0.25,0.16
1.52,1.18,0.25,0.16
1.52,1.17,0.25,0.16
1.52,1.16,0.25,0.16
1.52,1.15,0.25,0.16
1.52,1.14,0.25,0.16
1.52,1.13,0.25,0.16
1.52,1.12,0.25,0.16
1.52,1.11,0.25,0.16
1.52,1.1,0.25,0.16
1.52,1.09,0.25,0.16
1.52,1.08,0.25,0.16
1.52,1.07,0.25,0.16
1.52,1.06,0.25,0.16
1.52,1.05,0.25,0.16
1.52,1.04,0.25,0.16
1.52,1.03,0.25,0.16
1.52,1.02,0.25,0.16
1.52,1.01,0.25,0.16
1.52,1,0.25,0.16
1.52,0.99,0.25,0.16
1.52,0.98,0.25,0.16
1.52,0.97,0.25,0.16
1.52,0.96,0.25,0.16
1.52,0.95,0.25,0.16
1.52,0.94,0.25,0.16
1.52,0.93,0.25,0.16
1.52,0.92,0.25,0.16
1.52,0.91,0.25,0.16
1.52,0.9,0.25,0.16
1.52,0.89,0.25,0.16
1.52,0.88,0.25,0.16
1.52,0.87,0.25,0.16
1.52,0.86,0.25,0.16
1.52,0.85,0.25,0.16
1.52,0.84,0.25,0.16
1.52,0.83,0.25,0.16
1.52,0.82,0.25,0.16
1.52,0.81,0.25,0.16
1.52,0.8,0.25,0.16
1.52,0.79,0.25,0.16
1.52,0.78,0.25,0.16
1.52,0.77,0.25,0.16
1.52,0.76,0.25,0.16
1.52,0.75,0.25,0.16
1.52,0.74,0.25,0.16
1.52,0.73,0.25,0.16
1.52,0.72,0.25,0.16
1.52,0.71,0.25,0.16
1.52,0.7,0.25,0.16
1.52,0.69,0.25,0.16
1.52,0.68,0.25,0.16
1.52,0.67,0.25,0.16
1.52,0.66,0.25,0.16
1.52,0.65,0.25,0.16
